state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,100,0,50,0,0,0,0,0,0,150,-86.827719,32.773329
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.3,64.9
AZ,0,0,0,0,250,500,200,0,0,0,0,0,0,950,-111.658929,34.294776
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92.44427,34.921992
CA,0,0,0,0,14400,8550,7300,4300,3100,500,0,0,0,38150,-121,37.255299
CO,0,0,0,0,3300,0,200,750,0,0,0,0,0,4250,-105.546087,38.999137
CT,0,0,0,0,550,0,300,1259,0,0,0,0,0,2109,-72.737122,41.606924
DE,0,0,0,0,0,0,0,550,0,0,0,0,0,550,-75.499779,38.993921
DC,0,0,0,0,2220,250,3050,1000,0,0,0,0,0,6520,-77.018293,38.896097
FL,0,0,0,0,5250,1500,1550,450,500,0,0,0,0,9250,-81.5,28.615732
GA,0,0,0,0,1800,50,50,550,0,0,0,0,0,2450,-83.2,32.652474
HI,0,0,0,0,0,0,4019,150,0,0,0,0,0,4169,-155.4,19.6
ID,0,0,0,0,500,0,0,0,0,0,0,0,0,500,-114,44
IL,0,0,0,0,500,2700,1250,0,0,0,0,0,0,4450,-89.202674,40.061203
IN,0,0,0,0,0,0,0,50,0,0,0,0,0,50,-86,39.902306
IA,0,0,0,0,2000,0,1100,0,0,0,0,0,0,3100,-93.506079,42.083992
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98.380047,38.482145
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84.7,37.513983
LA,0,0,0,0,0,100,0,100,0,0,0,0,0,200,-91.956502,31.048572
ME,0,0,0,0,500,0,100,0,0,0,0,0,0,600,-69.217654,45.336854
MD,0,0,0,0,4200,100,2150,150,0,0,0,0,0,6600,-76.768453,39.032646
MA,0,0,0,0,2400.09,0,450,500,0,0,0,0,0,3350.09,-71.733952,42.237892
MI,0,0,0,0,100,0,1250,0,0,0,0,0,0,1350,-84.5,43
MN,0,0,0,0,0,0,750,0,0,0,0,0,0,750,-94.296494,46
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.661244,32.767379
MO,0,0,0,0,0,100,500,50,0,0,0,0,0,650,-92.480117,38.379759
MT,0,0,0,0,0,0,0,0,0,500,0,0,0,500,-109.657143,47.048656
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.813973,41.523428
NV,0,0,0,0,0,0,1250,0,0,0,0,0,0,1250,-116.649615,39.347228
NH,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,-71.563059,43.69196
NJ,0,0,0,0,1500,0,50,0,0,0,0,0,0,1550,-74.669503,40.205609
NM,0,0,0,0,500,500,0,0,0,0,0,0,0,1000,-106.087356,34.416615
NY,0,0,0,0,11250,50,2175,4575,0,0,0,0,0,18050,-75.502933,42.927867
NC,0,0,0,0,3000,500,1950,2200,0,0,0,0,0,7650,-79.251255,35.536226
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.483902,47.461886
OH,0,0,0,0,600,0,200,100,0,0,0,0,0,900,-82.5,40
OK,0,0,0,0,500,0,0,0,0,0,0,0,0,500,-97.502839,35.58171
OR,0,0,0,0,3625,1350,1300,2950,0,0,0,0,0,9225,-120.537708,43.944367
PA,0,0,0,0,200,0,850,250,0,0,0,0,0,1300,-77.807272,40.874089
RI,0,0,0,0,250,500,100,100,0,0,0,0,0,950,-71.531002,41.682406
SC,0,0,0,0,1100,0,800,0,100,0,0,0,0,2000,-80.883023,33.900651
SD,0,0,0,0,50,0,50,0,0,0,0,0,0,100,-100.22772,44.44542
TN,0,0,0,0,2000,0,100,0,0,0,0,0,0,2100,-86.322209,35.838538
TX,0,0,0,0,5450,1250,7800,1225,345.16,400,0,0,0,16470.16,-98.5,31.3
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.669552,39.329209
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.662015,44.07374
VA,0,0,0,0,13005,1050,15125,6050,0,1000,0,0,0,36230,-78.810097,37.507621
WA,0,0,0,0,6400,0,2950,400,0,100,0,0,0,9850,-120.398462,47.380244
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907
WI,0,0,0,0,300,0,750,0,0,0,0,0,0,1050,-89.7,44.5
WY,0,0,0,0,0,0,350,0,0,0,0,0,0,350,-107.553549,43.027008
